AvDay,PP.mm
227,219.11
257.4117647,304.66
287.8235294,243.27
318.2352941,109.39
348.6470588,32.41
379.0588235,21.91
409.4705882,20.56
439.8823529,40.23
470.2941176,69.58
500.7058824,193.32
531.1176471,270.97
561.5294118,113.15
591.9411765,162.32
622.3529412,327.37
652.7647059,209.41
683.1764706,48.46
713.5882353,9.16
744,9.22
774.4117647,1.97
804.8235294,20.01
835.2352941,37.49
865.6470588,14.23
896.0588235,58.62
926.4705882,39.02
956.8823529,63.34
987.2941176,195.53
1017.705882,126.13
1048.117647,49.92
1078.529412,6.17
1108.941176,2.97
1139.352941,1.84
1169.764706,12.81
1200.176471,24.84
1230.588235,33.28
1261,147.81
