"r","b1","b2","a","mu","g","R0","I0","Imax1","Imax1.Ieq","tiempoImax1"
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.001,0.798297878088651,0.144148644328608,127.51
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.012,0.798317602587397,0.145664756020511,101.75
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.023,0.798340010244089,0.145987130579404,94.99
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.034,0.798363726955778,0.146176075230071,90.93
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.045,0.798388363176903,0.146312763018773,88.01
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.056,0.798413709109782,0.146421974129386,85.73
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.067,0.798439639643292,0.146514438024006,83.86
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.078,0.798466072843899,0.146595731524077,82.27
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.089,0.798492943368619,0.146669098366914,80.89
0.011,0.035,0.035,0.65,0.2,0.0152,9.78618421052632,0.1,0.798520204728553,0.146736587475023,79.67
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.001,0.458346215642504,0.224110953906215,132.06
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.012,0.45845800460367,0.223904865289916,101.1
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.023,0.458588245665171,0.224080196312678,92.96
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.034,0.458727756358913,0.224259321351143,88.06
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.045,0.458873787524686,0.224437781399733,84.53
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.056,0.459024937661394,0.224615960297359,81.77
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.067,0.459180334053568,0.224794381088802,79.51
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.078,0.45933938202558,0.224973409013618,77.58
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.089,0.459501641037988,0.225153269675577,75.9
0.011,0.035,0.035,0.65,0.2,0.0357333333333333,4.16277985074627,0.1,0.459666775052075,0.225334102349101,74.41
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.001,0.266811834927513,0.143679734334833,151.04
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.012,0.266986878269339,0.14169311084199,112.5
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.023,0.267198446932244,0.142196087303346,102.33
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.034,0.267428989439711,0.142700858735355,96.19
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.045,0.267673116048676,0.14317495259426,91.76
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.056,0.267928022499621,0.143624072212872,88.29
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.067,0.268191962904892,0.144054860997705,85.42
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.078,0.268463720615794,0.144472271960034,82.98
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.089,0.268742406101958,0.144879845468522,80.85
0.011,0.035,0.035,0.65,0.2,0.0562666666666667,2.64366113744076,0.1,0.269027333185191,0.145280124260295,78.96
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.001,0.147120513084758,0.0859525041449166,182.54
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.012,0.147324284872171,0.077041132641212,131.97
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.023,0.14758524535862,0.0757754220924643,118.54
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.034,0.147877503076453,0.0754181003429184,110.38
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.045,0.148192769997609,0.075392448669862,104.46
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.056,0.148526630114339,0.0755309937782539,99.8
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.067,0.148876278458196,0.0757651333898299,95.95
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.078,0.149239749106993,0.0760610636387613,92.65
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.089,0.149615574430388,0.0764000285569655,89.76
0.011,0.035,0.035,0.65,0.2,0.0768,1.93684895833333,0.1,0.150002612895372,0.0767707141486243,87.19
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.001,0.0724227216652858,0.0383728697298818,237.89
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.012,0.0726155626893545,0.0390024583749406,165.32
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.023,0.0728895913775948,0.0379074991767811,145.77
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.034,0.0732124356423307,0.0372843712529519,133.75
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.045,0.0735728718960099,0.0369366944537261,124.95
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.056,0.0739646431555913,0.0367687868165255,117.96
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.067,0.0743836164713949,0.0367287137765855,112.13
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.078,0.0748267903319821,0.0367851913915189,107.12
0.011,0.035,0.035,0.65,0.2,0.0973333333333333,1.52825342465753,0.089,0.0752918485761407,0.0369178602452351,102.7
